,nl_query,sql_query,results_verbalisation,source
0,Get panel descriptions from research domain Life Sciences,,"The panel description is Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics and the research domain is Life Sciences.","<query> Get panel descriptions from research domain Life Sciences <table> erc_panels, erc_research_domains <col0> erc_panels description | STRING | Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics <col1> erc_research_domains description | STRING | Life Sciences "
1,Show the title of projects with costs higher than a million,,The project with cost 6332825 is High level Integrated SEnsor for NanoToxicity Screening.,<query> Show the title of projects with costs higher than a million <table> projects <col0> title | STRING | High level Integrated SEnsor for NanoToxicity Screening <col1> total_cost | NUMERIC | 6332825
2,institutions and funding received in descending order,,The Centre national de la recherche scientifique has a sum of eccontribution of 1981924959.0699916,"<query> institutions and funding received in descending order <table> institutions, project_members <col0> sum of ec_contribution | NUMERIC | 1981924959.0699916 <col1> institutions institutions_name | STRING | Centre national de la recherche scientifique "
3,Show the full name of people being investigators in projects that began in 2014,,Jonathan Gershuny started in 2014,"<query> Show the full name of people being investigators in projects that began in 2014 <table> projects, people <col0> people full_name | STRING | Jonathan Gershuny <col1> projects start_year | NUMERIC | 2014 "
4,Find projects whose subject area is “Mathematics and Statistics”,,The subject area of Mathematics and Statistics is Immersive interface technologies for life-cycle human-oriented activities in interactive aircraft-related virtual products,"<query> Find projects whose subject area is “Mathematics and Statistics” <table> projects, project_subject_areas, subject_areas <col0> t1 title | STRING | Immersive interface technologies for life-cycle human-oriented activities in interactive aircraft-related virtual products <col1> subject_areas title | STRING | Mathematics and Statistics "
5,Show the title of projects with costs higher than 1000000,,The project with cost 6332825 is High level Integrated SEnsor for NanoToxicity Screening.,<query> Show the title of projects with costs higher than 1000000 <table> projects <col0> title | STRING | High level Integrated SEnsor for NanoToxicity Screening <col1> total_cost | NUMERIC | 6332825
6,Find member name and role code of project members in project GTBB,,"The project member named ""GTBB"" has the role code coordinator, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD","<query> Find member name and role code of project members in project GTBB <table> project_members, projects, project_member_roles <col0> projects acronym | STRING | GTBB <col1> project_member_roles code | STRING | coordinator <col2> project_members member_name | STRING | THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD "
7,Show me the titles of projects that started before 2016,,Enabling the interoperability of cytometric data – a novel bioinformatics approach for revealing systems level understanding of cell cycle dynamics started in 2010.,<query> Show me the titles of projects that started before 2016 <table> projects <col0> title | STRING | Enabling the interoperability of cytometric data – a novel bioinformatics approach for revealing systems level understanding of cell cycle dynamics <col1> start_year | NUMERIC | 2010
8,Find the code and title of the funding scheme which funded the highest number of projects.,,The code MSCA-IF-EF-ST is Standard EF.,<query> Find the code and title of the funding scheme which funded the highest number of projects. <table> funding_schemes <col0> code | STRING | MSCA-IF-EF-ST <col1> title | STRING | Standard EF
9,Show total cost of project with title Theseus,,The project with title Theseus has a total cost of 71429,<query> Show total cost of project with title Theseus <table> projects <col0> title | STRING | Theseus <col1> total_cost | NUMERIC | 71429
